R0: 14918.837728781,0.041792282,14918.838177406,14918.880169156
R1: 14919.755033614,0.133472361,14919.755210281,14919.888793906
R2: 14920.519384406,0.018340619,14920.519482448,14920.537905114
R3: 14921.732828323,0.121834002,14921.733285157,14921.855179448
R4: 14921.937394615,0.067280747,14921.937463657,14922.004762907
R5: 14922.100151615,0.082600447,14922.100218657,14922.182850490
R6: 14922.424719365,0.060026226,14922.424840324,14922.486201157
R7: 14922.651778740,0.206605284,14922.651936740,14922.858625157
R8: 14924.172627658,0.105279846,14924.172751866,14924.278078783
R9: 14924.677675408,0.077822206,14924.677749408,14924.755606950
R10: 14924.754417866,0.023186871,14924.755642241,14924.778856325
R11: 14924.762667575,0.135878569,14924.778880575,14924.914773825
R12: 14924.836507658,0.042700071,14924.914800658,14924.957511741
R13: 14924.921737116,0.009599690,14924.957533741,14924.967135783
R14: 14924.991277783,0.020519092,14924.991347825,14925.011870742
R15: 14928.408925410,0.152254022,14928.409066243,14928.561377493
R16: 14928.768695493,0.029251819,14928.768757785,14928.798042243
R17: 14929.242941244,0.061911745,14929.243028660,14929.304986952
R18: 14929.750435702,0.300301707,14929.750499202,14930.050838327
R19: 14930.090670369,0.122966374,14930.090744036,14930.213745577
R20: 14930.263727994,0.122441784,14930.263765119,14930.386256952
R21: 14930.637856119,0.185106382,14930.637995911,14930.823175078
R22: 14930.893573078,0.036214346,14930.893631036,14930.929867161
R23: 14931.060219869,0.209469418,14931.060282578,14931.269790911
R24: 14931.884686245,0.248530295,14931.884754578,14932.133327703
R25: 14931.920878495,0.007498817,14932.133355620,14932.140866078
R26: 14932.294204703,0.090695495,14932.294269370,14932.385030953
R27: 14932.400999703,0.035756765,14932.401041953,14932.436811245
R28: 14933.505780412,0.001685518,14933.505839579,14933.507579704
R29: 14933.538994412,0.005431190,14933.539068787,14933.544511996
R30: 14933.845100746,0.293993518,14933.845230121,14934.139344079
R31: 14933.981346996,0.158605897,14934.139407996,14934.298087204
R32: 14935.144023955,0.064667327,14935.144356371,14935.209138121
R33: 14935.299322788,0.119012774,14935.299460038,14935.418635371
R34: 14935.534697080,0.091815717,14935.535089830,14935.626979122
R35: 14935.894202038,0.003339386,14935.894329663,14935.897726163
R36: 14936.273592664,0.223818738,14936.273691164,14936.497612080
R37: 14936.561528455,0.106364391,14936.561658497,14936.668165664
R38: 14937.897122206,0.111787685,14937.897483831,14938.009382664
R39: 14938.064524206,0.036419261,14938.064680206,14938.101171831
R40: 14938.575521040,0.015124241,14938.575677206,14938.590861081
R41: 14939.157870998,0.176740891,14939.158153998,14939.334993373
R42: 14939.447985957,0.033415072,14939.448077998,14939.481511707
R43: 14940.331740665,0.186534418,14940.331840874,14940.518405124
R44: 14940.462423832,0.096708169,14940.518463207,14940.615228207
R45: 14940.678153249,0.074023904,14940.678226791,14940.752331916
R46: 14942.245392083,0.163058538,14942.245444916,14942.408532875
R47: 14942.780943375,0.214718708,14942.781195042,14942.996072500
R48: 14943.070736333,0.140511685,14943.070840792,14943.211425625
R49: 14943.324967917,0.201567058,14943.325129875,14943.526804584
R50: 14943.901545584,0.020260251,14943.901971667,14943.922323626
R51: 14944.231139709,0.210611091,14944.231239376,14944.441935917
R52: 14945.731650168,0.177429529,14945.731753501,14945.909246376
R53: 14945.811664543,0.047129321,14945.909297710,14945.956449627
R54: 14946.324106668,0.027498046,14946.324142293,14946.351657460
R55: 14946.807494919,0.030615517,14946.807677460,14946.838328877
R56: 14947.578586002,0.021360097,14947.578716336,14947.600103502
R57: 14947.874992544,0.026940672,14947.875144919,14947.902125252
R58: 14947.978982794,0.044892751,14947.979069377,14948.023985419
R59: 14948.385573169,0.197754147,14948.385736253,14948.583568086
R60: 14948.478657836,0.011230092,14948.583650378,14948.594917794
R61: 14948.533189544,0.119091536,14948.594953003,14948.714131586
R62: 14948.875412961,0.227785778,14948.875550795,14949.103438711
R63: 14950.967200629,0.040265961,14950.967288045,14951.007573795
R64: 14951.544067212,0.038326362,14951.544189379,14951.582537421
R65: 14952.236873379,0.022025512,14952.236942213,14952.258991629
R66: 14952.411196629,0.023354999,14952.411376088,14952.434763671
R67: 14952.850488338,0.109776884,14952.850642171,14952.960466213
R68: 14952.933321880,0.131442623,14952.960606588,14953.092099546
R69: 14953.000437171,0.113897644,14953.092158796,14953.206105838
R70: 14953.090176255,0.249817922,14953.206164338,14953.456063088
R71: 14953.128962130,0.061435961,14953.456125505,14953.517629671
R72: 14953.155990088,0.022876576,14953.517683963,14953.540623588
R73: 14953.252954338,0.109934426,14953.540676255,14953.650718255
R74: 14954.052282755,0.285300052,14954.052380588,14954.337809380
R75: 14954.586792797,0.118834345,14954.586929047,14954.705860464
R76: 14955.097029922,0.012076079,14955.097160922,14955.109274214
R77: 14955.146301881,0.006788488,14955.146450506,14955.153311131
R78: 14955.513630922,0.019081617,14955.513730922,14955.532883256
R79: 14955.549979506,0.142750595,14955.550117381,14955.692925298
R80: 14955.859569631,0.117405886,14955.859707839,14955.977220631
R81: 14956.285631381,0.014312185,14956.285780339,14956.300120089
R82: 14956.312461173,0.019047417,14956.312588839,14956.331649548
R83: 14962.289890259,0.011172244,14962.290075676,14962.301280301
R84: 14963.393530885,0.004631131,14963.393681385,14963.398374093
R85: 14966.453789428,0.006256493,14966.454202719,14966.460502594
R86: 14967.477042761,0.213737334,14967.477210178,14967.690982053
R87: 14967.479285803,0.016575418,14967.691076762,14967.707667845
R88: 14967.929944970,0.041422586,14967.930113387,14967.971558053
R89: 14968.019187178,0.142758855,14968.019292345,14968.162185470
