R0: 14275.293467072,0.041792282,14275.293670863,14275.335785780
R1: 14277.127511364,0.133472361,14277.127617864,14277.261140823
R2: 14278.655997907,0.018340619,14278.656094740,14278.674462573
R3: 14281.082595866,0.121834002,14281.082708991,14281.204704491
R4: 14281.491595700,0.067280747,14281.491706200,14281.559068366
R5: 14281.817195283,0.082600447,14281.817304825,14281.900030867
R6: 14282.466797242,0.060026226,14282.466893450,14282.526995659
R7: 14282.920723159,0.206605284,14282.920829867,14283.127516909
R8: 14285.962267160,0.105279846,14285.962478327,14286.067880077
R9: 14286.972368286,0.077822206,14286.972676577,14287.050591952
R10: 14287.126076452,0.023186871,14287.126145911,14287.149363411
R11: 14287.142594411,0.135878569,14287.149412536,14287.285332369
R12: 14287.290242453,0.042700071,14287.290307828,14287.333037619
R13: 14287.460712203,0.009599690,14287.460817244,14287.470440994
R14: 14287.599871036,0.020519092,14287.600057619,14287.621705703
R15: 14294.435443414,0.152254022,14294.435965997,14294.588358289
R16: 14295.155259956,0.029251819,14295.155379039,14295.184705456
R17: 14296.104573956,0.061911745,14296.104719956,14296.166715206
R18: 14297.119629582,0.300301707,14297.119763248,14297.420155290
R19: 14297.800208165,0.122966374,14297.800321499,14297.923418582
R20: 14298.146963582,0.122441784,14298.147092207,14298.269607874
R21: 14298.895775832,0.185106382,14298.895877916,14299.081072791
R22: 14299.407170374,0.036214346,14299.407303041,14299.443621041
R23: 14299.740467458,0.209469418,14299.740652208,14299.950216458
R24: 14301.389507542,0.248530295,14301.389648709,14301.638330250
R25: 14301.462066167,0.007498817,14301.638417584,14301.645939792
R26: 14302.208777501,0.090695495,14302.208923834,14302.299716751
R27: 14302.422399084,0.035756765,14302.422541876,14302.458364751
R28: 14304.632031127,0.001685518,14304.632161043,14304.633883627
R29: 14304.698514627,0.005431190,14304.698615502,14304.704075377
R30: 14305.310622002,0.293993518,14305.310723419,14305.604761169
R31: 14305.583515502,0.158605897,14305.604835794,14305.763545211
R32: 14307.908552212,0.064667327,14307.908637545,14307.973368962
R33: 14308.218807087,0.119012774,14308.218867879,14308.337984504
R34: 14308.689273045,0.091815717,14308.689403795,14308.781329962
R35: 14309.408054254,0.003339386,14309.408166337,14309.411545879
R36: 14310.166681463,0.223818738,14310.166851213,14310.390776630
R37: 14310.742478130,0.106364391,14310.742577213,14310.849075755
R38: 14313.413573839,0.111787685,14313.413747756,14313.525622131
R39: 14313.748238923,0.036419261,14313.748332381,14313.784816506
R40: 14314.770019965,0.015124241,14314.770220423,14314.785421298
R41: 14315.934479841,0.176740891,14315.934583216,14316.111415174
R42: 14316.514599507,0.033415072,14316.514820757,14316.548333132
R43: 14318.281992300,0.186534418,14318.282077925,14318.468724967
R44: 14318.542105258,0.096708169,14318.542216425,14318.639052925
R45: 14318.973632342,0.074023904,14318.973773842,14319.047859509
R46: 14322.108114426,0.163058538,14322.108258343,14322.271388135
R47: 14323.179195677,0.214718708,14323.179254468,14323.394114260
R48: 14323.758339260,0.140511685,14323.758528927,14323.899163635
R49: 14324.266781719,0.201567058,14324.266958052,14324.468666094
R50: 14325.419690303,0.020260251,14325.419796761,14325.440102553
R51: 14326.078618053,0.210611091,14326.078761470,14326.289468803
R52: 14329.079549429,0.177429529,14329.079632096,14329.257115263
R53: 14329.239452096,0.047129321,14329.257175471,14329.304363430
R54: 14330.264249847,0.027498046,14330.264347972,14330.291915055
R55: 14331.230930806,0.030615517,14331.231111514,14331.261792597
R56: 14332.772961640,0.021360097,14332.773075306,14332.794480098
R57: 14333.365610307,0.026940672,14333.365689515,14333.392695057
R58: 14333.573431348,0.044892751,14333.573567057,14333.618523765
R59: 14334.386528515,0.197754147,14334.386702557,14334.584485349
R60: 14334.572578432,0.011230092,14334.584561182,14334.595809724
R61: 14334.681614057,0.119091536,14334.681703182,14334.800886599
R62: 14335.365782307,0.227785778,14335.365855557,14335.593767558
R63: 14339.549191809,0.040265961,14339.549286351,14339.589622268
R64: 14340.702772435,0.038326362,14340.702869768,14340.741257685
R65: 14342.088331352,0.022025512,14342.088499102,14342.110587477
R66: 14342.436895269,0.023354999,14342.437063103,14342.460519228
R67: 14343.315271186,0.109776884,14343.315404770,14343.425290020
R68: 14343.480711978,0.131442623,14343.480799020,14343.612346645
R69: 14343.614900228,0.113897644,14343.614962978,14343.728944728
R70: 14343.794215020,0.249817922,14343.794274562,14344.044193228
R71: 14343.871789062,0.061435961,14344.044273353,14344.105798978
R72: 14343.925878395,0.022876576,14344.105875395,14344.128807853
R73: 14344.119829812,0.109934426,14344.128861187,14344.238891312
R74: 14345.718421021,0.285300052,14345.718528896,14346.003901646
R75: 14346.787316105,0.118834345,14346.787418688,14346.906352480
R76: 14347.807651105,0.012076079,14347.807795147,14347.819898022
R77: 14347.905953272,0.006788488,14347.906093105,14347.912907980
R78: 14348.640563189,0.019081617,14348.640702064,14348.659842022
R79: 14348.713157147,0.142750595,14348.713262772,14348.856108939
R80: 14349.332099147,0.117405886,14349.332158772,14349.449676730
R81: 14350.183928272,0.014312185,14350.184141481,14350.198507731
R82: 14350.237506439,0.019047417,14350.237601189,14350.256749064
R83: 14362.192320278,0.011172244,14362.192382861,14362.203580070
R84: 14364.399407612,0.004631131,14364.399709987,14364.404418487
R85: 14370.518510824,0.006256493,14370.518636865,14370.524943990
R86: 14372.563072450,0.213737334,14372.563172700,14372.777096533
R87: 14372.567322825,0.016575418,14372.777182658,14372.793775033
R88: 14373.468561283,0.041422586,14373.468685908,14373.510178908
R89: 14373.647426783,0.142758855,14373.647540075,14373.790405409
