R0: 9744.054387091,0.041792282,9744.055372258,9744.097564841
R1: 9744.238074300,0.133472361,9744.238195258,9744.371761508
R2: 9744.391123467,0.018340619,9744.391440925,9744.409842758
R3: 9744.633867842,0.121834002,9744.633963550,9744.755854008
R4: 9744.674819967,0.067280747,9744.755971342,9744.823271717
R5: 9744.707432883,0.082600447,9744.823321425,9744.905954675
R6: 9744.772423717,0.060026226,9744.906026967,9744.966137509
R7: 9744.817881925,0.206605284,9744.966205759,9745.172842800
R8: 9745.122108009,0.105279846,9745.172893550,9745.278299467
R9: 9745.223175509,0.077822206,9745.278393342,9745.356258342
R10: 9745.238641925,0.023186871,9745.356309967,9745.379510134
R11: 9745.240367217,0.135878569,9745.379559009,9745.515483467
R12: 9745.255189134,0.042700071,9745.515533842,9745.558293425
R13: 9745.272322717,0.009599690,9745.558356050,9745.567991800
R14: 9745.286318634,0.020519092,9745.568066925,9745.588632217
R15: 9745.969984926,0.152254022,9745.970194217,9746.122521426
R16: 9746.042148217,0.029251819,9746.122593009,9746.151866467
R17: 9746.137032217,0.061911745,9746.151902384,9746.213825259
R18: 9746.238565176,0.300301707,9746.238632676,9746.538960384
R19: 9746.306636634,0.122966374,9746.539074676,9746.662103093
R20: 9746.341269926,0.122441784,9746.662152468,9746.784648426
R21: 9746.416125384,0.185106382,9746.784711051,9746.969880843
R22: 9746.467277884,0.036214346,9746.969970968,9747.006228926
R23: 9746.500616593,0.209469418,9747.006291676,9747.215826718
R24: 9746.665530426,0.248530295,9747.215905718,9747.464490593
R25: 9746.672801384,0.007498817,9747.464541426,9747.472053635
R26: 9746.747511301,0.090695495,9747.472082635,9747.562837593
R27: 9746.768920051,0.035756765,9747.562892468,9747.598703885
R28: 9746.989886885,0.001685518,9747.598751385,9747.600452176
R29: 9746.996566426,0.005431190,9747.600480051,9747.605924301
R30: 9747.057786843,0.293993518,9747.605950593,9747.900056927
R31: 9747.085070051,0.158605897,9747.900139927,9748.058816510
R32: 9747.317625718,0.064667327,9748.058887177,9748.123579218
R33: 9747.348741968,0.119012774,9748.123632218,9748.242679885
R34: 9747.395826718,0.091815717,9748.242743010,9748.334656760
R35: 9747.467764760,0.003339386,9748.334720635,9748.338102552
R36: 9747.543672468,0.223818738,9748.338136302,9748.562042969
R37: 9747.601269385,0.106364391,9748.562104010,9748.668529177
R38: 9747.868455260,0.111787685,9748.668586552,9748.780429594
R39: 9747.901963718,0.036419261,9748.780490302,9748.816929594
R40: 9748.004216010,0.015124241,9748.816965844,9748.832104969
R41: 9748.120719302,0.176740891,9748.832128010,9749.008880927
R42: 9748.178821760,0.033415072,9749.008906552,9749.042343594
R43: 9748.355599968,0.186534418,9749.042377177,9749.228938094
R44: 9748.381680052,0.096708169,9749.228972261,9749.325774969
R45: 9748.424942177,0.074023904,9749.325857136,9749.399900302
R46: 9748.738665677,0.163058538,9749.399938011,9749.563073177
R47: 9748.845878177,0.214718708,9749.563122636,9749.777902511
R48: 9748.903811385,0.140511685,9749.777973303,9749.918528178
R49: 9748.954662094,0.201567058,9749.918579844,9750.120224803
R50: 9749.069965052,0.020260251,9750.120289094,9750.140607469
R51: 9749.135877802,0.210611091,9750.140661886,9750.351370803
R52: 9749.435989802,0.177429529,9750.351447261,9750.528936470
R53: 9749.452080761,0.047129321,9750.528994636,9750.576239678
R54: 9749.554589177,0.027498046,9750.576354178,9750.603882511
R55: 9749.651286011,0.030615517,9750.603935970,9750.634562803
R56: 9749.805520219,0.021360097,9750.634611928,9750.656037303
R57: 9749.864866636,0.026940672,9750.656087761,9750.683081761
R58: 9749.885731261,0.044892751,9750.683133845,9750.728078678
R59: 9749.967117928,0.197754147,9750.728126511,9750.925901511
R60: 9749.985761011,0.011230092,9750.925960678,9750.937202386
R61: 9749.996683178,0.119091536,9750.937248803,9751.056417511
R62: 9750.065151844,0.227785778,9751.056508928,9751.284334512
R63: 9750.483629386,0.040265961,9751.284427720,9751.324727387
R64: 9750.599174720,0.038326362,9751.324796928,9751.363190053
R65: 9750.737810303,0.022025512,9751.363260928,9751.385306303
R66: 9750.772745470,0.023354999,9751.387205428,9751.410592928
